"","range","y_lower","y_upper","y","delta","language","predictor","psychometric"
"1",2.5,38.1938895358812,45.720106219337,42.1819138086468,25.7398085172395,"ZH","vmi_qwenzt","gaze_duration"
"2",2.51,38.163762666238,45.7364298727373,42.1804681315435,25.7398085172395,"ZH","vmi_qwenzt","gaze_duration"
"3",2.52,38.1333320044859,45.7514111783033,42.1780359135622,25.7398085172395,"ZH","vmi_qwenzt","gaze_duration"
"4",2.53,38.102597290419,45.7650331958701,42.1746057906118,25.7398085172395,"ZH","vmi_qwenzt","gaze_duration"
"5",2.54,38.0715582638316,45.7772789852725,42.1701663986014,25.7398085172395,"ZH","vmi_qwenzt","gaze_duration"
"6",2.55,38.0402146645178,45.7881316063459,42.1647063734398,25.7398085172395,"ZH","vmi_qwenzt","gaze_duration"
"7",2.56,38.0085662322717,45.7975741189252,42.158214351036,25.7398085172395,"ZH","vmi_qwenzt","gaze_duration"
"8",2.57,37.9766127068875,45.8055895828454,42.150678967299,25.7398085172395,"ZH","vmi_qwenzt","gaze_duration"
"9",2.58,37.9443538281592,45.8121610579418,42.1420888581376,25.7398085172395,"ZH","vmi_qwenzt","gaze_duration"
"10",2.59,37.911789335881,45.8172716040493,42.1324326594609,25.7398085172395,"ZH","vmi_qwenzt","gaze_duration"
"11",2.6,37.8789189698471,45.8209042810031,42.1216990071778,25.7398085172395,"ZH","vmi_qwenzt","gaze_duration"
"12",2.61,37.8457424698516,45.8230421486381,42.1098765371973,25.7398085172395,"ZH","vmi_qwenzt","gaze_duration"
"13",2.62,37.8122595756886,45.8236682667896,42.0969538854282,25.7398085172395,"ZH","vmi_qwenzt","gaze_duration"
"14",2.63,37.7784700271523,45.8227656952925,42.0829196877795,25.7398085172395,"ZH","vmi_qwenzt","gaze_duration"
"15",2.64,37.7443735640368,45.8203174939819,42.0677625801602,25.7398085172395,"ZH","vmi_qwenzt","gaze_duration"
"16",2.65,37.7099699261363,45.8163067226929,42.0514711984793,25.7398085172395,"ZH","vmi_qwenzt","gaze_duration"
"17",2.66,37.6752587716515,45.8107168772411,42.0340344616011,25.7398085172395,"ZH","vmi_qwenzt","gaze_duration"
"18",2.67,37.6402378545332,45.8043373713752,42.0154478921029,25.7398085172395,"ZH","vmi_qwenzt","gaze_duration"
"19",2.68,37.6049030090172,45.8002372015242,41.9957136699013,25.7398085172395,"ZH","vmi_qwenzt","gaze_duration"
"20",2.69,37.5692499846538,45.7944738400553,41.9748342685947,25.7398085172395,"ZH","vmi_qwenzt","gaze_duration"
"21",2.7,37.5332745309926,45.78705247255,41.9528121617812,25.7398085172395,"ZH","vmi_qwenzt","gaze_duration"
"22",2.71,37.4969723975839,45.7779782845902,41.9296498230591,25.7398085172395,"ZH","vmi_qwenzt","gaze_duration"
"23",2.72,37.4603393339775,45.7672564617573,41.9053497260265,25.7398085172395,"ZH","vmi_qwenzt","gaze_duration"
"24",2.73,37.4233710897235,45.7548921896331,41.8799143442817,25.7398085172395,"ZH","vmi_qwenzt","gaze_duration"
"25",2.74,37.3860634143717,45.7408906537993,41.8533461514228,25.7398085172395,"ZH","vmi_qwenzt","gaze_duration"
"26",2.75,37.3484120574722,45.7252570398374,41.8256476210481,25.7398085172395,"ZH","vmi_qwenzt","gaze_duration"
"27",2.76,37.310412768575,45.7079965333291,41.7968212267557,25.7398085172395,"ZH","vmi_qwenzt","gaze_duration"
"28",2.77,37.2720612972299,45.6891143198561,41.7668694421439,25.7398085172395,"ZH","vmi_qwenzt","gaze_duration"
"29",2.78,37.2333533929871,45.668615585,41.7357947408109,25.7398085172395,"ZH","vmi_qwenzt","gaze_duration"
"30",2.79,37.1942848053964,45.6465055143425,41.7035995963548,25.7398085172395,"ZH","vmi_qwenzt","gaze_duration"
"31",2.8,37.1537015524991,45.6227892934652,41.6702864823739,25.7398085172395,"ZH","vmi_qwenzt","gaze_duration"
"32",2.81,37.1121363264214,45.5974721079498,41.6358578724663,25.7398085172395,"ZH","vmi_qwenzt","gaze_duration"
"33",2.82,37.0701626472217,45.5881270222685,41.6003162402303,25.7398085172395,"ZH","vmi_qwenzt","gaze_duration"
"34",2.83,37.0277768517049,45.5833829379304,41.5636640592641,25.7398085172395,"ZH","vmi_qwenzt","gaze_duration"
"35",2.84,36.9849752766764,45.577153160822,41.5259038031659,25.7398085172395,"ZH","vmi_qwenzt","gaze_duration"
"36",2.85,36.9260374849022,45.5694394005247,41.4870379455338,25.7398085172395,"ZH","vmi_qwenzt","gaze_duration"
"37",2.86,36.8607184714425,45.56024336662,41.4470689599662,25.7398085172395,"ZH","vmi_qwenzt","gaze_duration"
"38",2.87,36.794699417527,45.5495667686894,41.4059993200611,25.7398085172395,"ZH","vmi_qwenzt","gaze_duration"
"39",2.88,36.7279820821854,45.5374113163144,41.3638314994168,25.7398085172395,"ZH","vmi_qwenzt","gaze_duration"
"40",2.89,36.6605682244475,45.5237787190765,41.3205679716314,25.7398085172395,"ZH","vmi_qwenzt","gaze_duration"
"41",2.9,36.6086424798182,45.5086706865572,41.2762112103033,25.7398085172395,"ZH","vmi_qwenzt","gaze_duration"
"42",2.91,36.5582549245211,45.4920889283379,41.2307636890305,25.7398085172395,"ZH","vmi_qwenzt","gaze_duration"
"43",2.92,36.5072280796888,45.4760511887572,41.1842278814114,25.7398085172395,"ZH","vmi_qwenzt","gaze_duration"
"44",2.93,36.4546904383642,45.4587277539213,41.136606261044,25.7398085172395,"ZH","vmi_qwenzt","gaze_duration"
"45",2.94,36.4002931506042,45.4399324070416,41.0879013015267,25.7398085172395,"ZH","vmi_qwenzt","gaze_duration"
"46",2.95,36.3452552667968,45.4196667608135,41.0381154764576,25.7398085172395,"ZH","vmi_qwenzt","gaze_duration"
"47",2.96,36.2895769227384,45.3979324279322,40.9872512594348,25.7398085172395,"ZH","vmi_qwenzt","gaze_duration"
"48",2.97,36.233258254225,45.3623465177026,40.9353111240567,25.7398085172395,"ZH","vmi_qwenzt","gaze_duration"
"49",2.98,36.1762993970529,45.3061875379927,40.8822975439213,25.7398085172395,"ZH","vmi_qwenzt","gaze_duration"
"50",2.99,36.1187004870182,45.2483624715095,40.8282129926271,25.7398085172395,"ZH","vmi_qwenzt","gaze_duration"
"51",3,36.064652244584,45.1888785577567,40.7730599437719,25.7398085172395,"ZH","vmi_qwenzt","gaze_duration"
"52",3.01,36.0398899973546,45.1277430362384,40.7168408709543,25.7398085172395,"ZH","vmi_qwenzt","gaze_duration"
