"","range","y_lower","y_upper","y","delta","language","predictor","psychometric"
"1",0,127.643913848472,248.028547155956,185.929374108781,124.299396976085,"ZH","vmi_baseline","gaze_duration"
"2",0.1,138.173907537584,244.6088515103,189.449107917298,124.299396976085,"ZH","vmi_baseline","gaze_duration"
"3",0.2,148.703901226695,241.189155864645,192.968841725814,124.299396976085,"ZH","vmi_baseline","gaze_duration"
"4",0.3,159.192602214322,237.76946021899,196.488575534331,124.299396976085,"ZH","vmi_baseline","gaze_duration"
"5",0.4,169.052609113731,234.349764573334,200.008309342847,124.299396976085,"ZH","vmi_baseline","gaze_duration"
"6",0.5,178.91261601314,230.930068927679,203.528043151364,124.299396976085,"ZH","vmi_baseline","gaze_duration"
"7",0.6,188.70589232405,227.510373282023,207.047776959881,124.299396976085,"ZH","vmi_baseline","gaze_duration"
"8",0.7,198.199528570462,224.076713226031,210.520544044154,124.299396976085,"ZH","vmi_baseline","gaze_duration"
"9",0.8,204.847169230288,220.528770975838,213.189965962734,124.299396976085,"ZH","vmi_baseline","gaze_duration"
"10",0.9,208.512921822383,217.243270148709,213.750136304129,124.299396976085,"ZH","vmi_baseline","gaze_duration"
"11",1,206.732156244972,215.064322985723,210.929413592712,124.299396976085,"ZH","vmi_baseline","gaze_duration"
"12",1.1,200.946390335484,208.889585419722,204.940503261047,124.299396976085,"ZH","vmi_baseline","gaze_duration"
"13",1.2,193.121084973791,201.671423613631,197.669196865315,124.299396976085,"ZH","vmi_baseline","gaze_duration"
"14",1.3,185.60738081532,194.275964497477,190.211061150416,124.299396976085,"ZH","vmi_baseline","gaze_duration"
"15",1.4,178.438045493348,186.892134775674,182.890419328408,124.299396976085,"ZH","vmi_baseline","gaze_duration"
"16",1.5,171.258400908572,180.227793179279,176.005877553529,124.299396976085,"ZH","vmi_baseline","gaze_duration"
"17",1.6,164.595911349672,174.291616755391,169.825189917534,124.299396976085,"ZH","vmi_baseline","gaze_duration"
"18",1.7,158.713082982887,168.996455106934,164.374132073563,124.299396976085,"ZH","vmi_baseline","gaze_duration"
"19",1.8,153.550681592372,164.243056984477,159.564309105092,124.299396976085,"ZH","vmi_baseline","gaze_duration"
"20",1.9,149.016714705654,159.953135943693,155.306653088576,124.299396976085,"ZH","vmi_baseline","gaze_duration"
"21",2,145.019189850257,156.048688568885,151.512096100472,124.299396976085,"ZH","vmi_baseline","gaze_duration"
"22",2.1,141.466114553705,152.513224857536,148.091570217233,124.299396976085,"ZH","vmi_baseline","gaze_duration"
"23",2.2,138.265496343524,149.377185862065,144.956007515315,124.299396976085,"ZH","vmi_baseline","gaze_duration"
"24",2.3,135.325342747237,146.47086750779,142.016340071173,124.299396976085,"ZH","vmi_baseline","gaze_duration"
"25",2.4,132.553661292371,143.634302830028,139.183499961263,124.299396976085,"ZH","vmi_baseline","gaze_duration"
"26",2.5,129.85845950645,140.771241202209,136.368419262039,124.299396976085,"ZH","vmi_baseline","gaze_duration"
"27",2.6,127.147744916998,137.891612170889,133.482030049957,124.299396976085,"ZH","vmi_baseline","gaze_duration"
"28",2.7,124.341580640323,135.179972517448,130.447175772746,124.299396976085,"ZH","vmi_baseline","gaze_duration"
"29",2.8,121.42322769825,132.237047987416,127.249141765451,124.299396976085,"ZH","vmi_baseline","gaze_duration"
"30",2.9,118.317491168295,129.09660945557,123.893604638124,124.299396976085,"ZH","vmi_baseline","gaze_duration"
"31",3,115.055840640634,125.742726754097,120.386252411461,124.299396976085,"ZH","vmi_baseline","gaze_duration"
"32",3.1,111.692660221786,122.178905703274,116.73277310616,124.299396976085,"ZH","vmi_baseline","gaze_duration"
"33",3.2,108.191945314042,118.413318188062,112.938854742918,124.299396976085,"ZH","vmi_baseline","gaze_duration"
"34",3.3,104.512451317649,114.454136093421,109.010185342432,124.299396976085,"ZH","vmi_baseline","gaze_duration"
"35",3.4,100.748961816435,110.309531304311,104.9524529254,124.299396976085,"ZH","vmi_baseline","gaze_duration"
"36",3.5,96.9051786312823,105.987675705692,100.771345512517,124.299396976085,"ZH","vmi_baseline","gaze_duration"
"37",3.6,92.9848035830745,101.496741182526,96.472551124482,124.299396976085,"ZH","vmi_baseline","gaze_duration"
"38",3.7,88.9812789031027,96.8448996197718,92.0617577819914,124.299396976085,"ZH","vmi_baseline","gaze_duration"
"39",3.8,84.8708871848908,92.1245734764688,87.5446535057426,124.299396976085,"ZH","vmi_baseline","gaze_duration"
"40",3.9,80.4010624435518,87.3353782459448,82.9269263164325,124.299396976085,"ZH","vmi_baseline","gaze_duration"
