"","word","vent","rev","model","uncond_ent","vmi","language"
"1","一",1.17905586366243,"Lower","Baseline",5.59,4.41094413633756,"ZH"
"2","七",4.03461938484893,"Lower","Baseline",5.59,1.55538061515107,"ZH"
"3","三",2.01882850110464,"Lower","Baseline",5.59,3.57117149889536,"ZH"
"4","上",0.699450387412032,"Lower","Baseline",5.59,4.89054961258797,"ZH"
"5","下",1.56489887987324,"Lower","Baseline",5.59,4.02510112012676,"ZH"
"6","不",0.44379997940383,"Lower","Baseline",5.59,5.14620002059617,"ZH"
"7","与",0.595350078763719,"Lower","Baseline",5.59,4.99464992123628,"ZH"
"8","专",4.46772656055134,"Lower","Baseline",5.59,1.12227343944866,"ZH"
"9","且",3.74897726689745,"Lower","Baseline",5.59,1.84102273310255,"ZH"
"10","世",4.59634788466521,"Lower","Baseline",5.59,0.993652115334788,"ZH"
"11","丘",4.72452934563242,"Lower","Baseline",5.59,0.865470654367577,"ZH"
"12","业",4.36564560403615,"Lower","Baseline",5.59,1.22435439596385,"ZH"
"13","东",3.85305809487268,"Lower","Baseline",5.59,1.73694190512732,"ZH"
"14","两",2.62124489355303,"Lower","Baseline",5.59,2.96875510644697,"ZH"
"15","严",4.68628797444247,"Lower","Baseline",5.59,0.903712025557528,"ZH"
"16","个",1.05755813355,"Lower","Baseline",5.59,4.53244186645,"ZH"
"17","中",0.639333515669915,"Lower","Baseline",5.59,4.95066648433009,"ZH"
"18","串",4.53781361673021,"Lower","Baseline",5.59,1.05218638326979,"ZH"
"19","临",4.24305462758507,"Lower","Baseline",5.59,1.34694537241493,"ZH"
"20","丹",4.55666876923818,"Lower","Baseline",5.59,1.03333123076182,"ZH"
"21","为",0.577314826689162,"Lower","Baseline",5.59,5.01268517331084,"ZH"
"22","主",4.05054253040226,"Lower","Baseline",5.59,1.53945746959774,"ZH"
"23","久",4.19766299772939,"Lower","Baseline",5.59,1.39233700227061,"ZH"
"24","么",2.63658094120965,"Lower","Baseline",5.59,2.95341905879035,"ZH"
"25","义",4.29566018784393,"Lower","Baseline",5.59,1.29433981215607,"ZH"
"26","之",1.52610246387084,"Lower","Baseline",5.59,4.06389753612916,"ZH"
"27","乎",4.60444451759807,"Lower","Baseline",5.59,0.985555482401925,"ZH"
"28","乏",4.52705315571324,"Lower","Baseline",5.59,1.06294684428676,"ZH"
"29","乐",4.39037840295698,"Lower","Baseline",5.59,1.19962159704302,"ZH"
"30","九",4.38086622619409,"Lower","Baseline",5.59,1.20913377380591,"ZH"
"31","也",0.547058178674627,"Lower","Baseline",5.59,5.04294182132537,"ZH"
"32","习",4.55169650066421,"Lower","Baseline",5.59,1.03830349933579,"ZH"
"33","书",3.31102797954517,"Lower","Baseline",5.59,2.27897202045483,"ZH"
"34","乳",4.59408352125974,"Lower","Baseline",5.59,0.995916478740259,"ZH"
"35","了",0.21269434562714,"Lower","Baseline",5.59,5.37730565437286,"ZH"
"36","争",4.55670183353842,"Lower","Baseline",5.59,1.03329816646158,"ZH"
"37","事",2.18156083581962,"Lower","Baseline",5.59,3.40843916418038,"ZH"
"38","二",3.44288222321361,"Lower","Baseline",5.59,2.14711777678639,"ZH"
"39","于",1.06829061674073,"Lower","Baseline",5.59,4.52170938325927,"ZH"
"40","五",3.87850186253718,"Lower","Baseline",5.59,1.71149813746282,"ZH"
"41","亚",4.09281705773476,"Lower","Baseline",5.59,1.49718294226524,"ZH"
"42","些",3.78119327174883,"Lower","Baseline",5.59,1.80880672825117,"ZH"
"43","亡",4.69530620430204,"Lower","Baseline",5.59,0.894693795697962,"ZH"
"44","交",4.12330131927649,"Lower","Baseline",5.59,1.46669868072351,"ZH"
"45","产",4.26506180828618,"Lower","Baseline",5.59,1.32493819171382,"ZH"
"46","享",4.6439215973575,"Lower","Baseline",5.59,0.946078402642495,"ZH"
"47","亲",4.51499889797384,"Lower","Baseline",5.59,1.07500110202616,"ZH"
"48","人",0.513119243916791,"Lower","Baseline",5.59,5.07688075608321,"ZH"
"49","什",4.6486565117875,"Lower","Baseline",5.59,0.9413434882125,"ZH"
"50","仅",3.85471650760695,"Lower","Baseline",5.59,1.73528349239305,"ZH"
"51","今",4.22078908576039,"Lower","Baseline",5.59,1.36921091423961,"ZH"
"52","仍",3.39112642014032,"Lower","Baseline",5.59,2.19887357985968,"ZH"
"53","从",1.01850473049336,"Lower","Baseline",5.59,4.57149526950664,"ZH"
"54","他",0.613299861605867,"Lower","Baseline",5.59,4.97670013839413,"ZH"
"55","代",4.42374850432492,"Lower","Baseline",5.59,1.16625149567508,"ZH"
"56","令",4.00131360689313,"Lower","Baseline",5.59,1.58868639310687,"ZH"
"57","以",1.14710874743176,"Lower","Baseline",5.59,4.44289125256824,"ZH"
"58","们",2.11287051441944,"Lower","Baseline",5.59,3.47712948558056,"ZH"
"59","件",3.84181553362136,"Lower","Baseline",5.59,1.74818446637864,"ZH"
"60","价",4.59573161299838,"Lower","Baseline",5.59,0.994268387001616,"ZH"
"61","任",3.82632072919721,"Lower","Baseline",5.59,1.76367927080279,"ZH"
"62","仿",4.72472702539985,"Lower","Baseline",5.59,0.865272974600149,"ZH"
"63","企",4.67877967117656,"Lower","Baseline",5.59,0.911220328823435,"ZH"
"64","休",4.75457187977419,"Lower","Baseline",5.59,0.835428120225814,"ZH"
"65","优",4.61025674055424,"Lower","Baseline",5.59,0.979743259445764,"ZH"
"66","会",0.836239777440292,"Lower","Baseline",5.59,4.75376022255971,"ZH"
"67","传",4.18633668571133,"Lower","Baseline",5.59,1.40366331428867,"ZH"
"68","伤",4.47081536655766,"Lower","Baseline",5.59,1.11918463344234,"ZH"
"69","伯",4.55276843573526,"Lower","Baseline",5.59,1.03723156426474,"ZH"
"70","估",4.59733033399081,"Lower","Baseline",5.59,0.992669666009191,"ZH"
"71","似",4.65461007639981,"Lower","Baseline",5.59,0.935389923600194,"ZH"
"72","但",1.17878643605015,"Lower","Baseline",5.59,4.41121356394985,"ZH"
"73","位",3.36573812123192,"Lower","Baseline",5.59,2.22426187876808,"ZH"
"74","低",3.69430604804693,"Lower","Baseline",5.59,1.89569395195307,"ZH"
"75","住",3.50057136680713,"Lower","Baseline",5.59,2.08942863319287,"ZH"
"76","体",4.17853646168473,"Lower","Baseline",5.59,1.41146353831527,"ZH"
"77","何",4.46141147042633,"Lower","Baseline",5.59,1.12858852957367,"ZH"
"78","余",4.4449363622495,"Lower","Baseline",5.59,1.1450636377505,"ZH"
"79","佛",4.6012029411307,"Lower","Baseline",5.59,0.988797058869304,"ZH"
"80","作",3.17920364874322,"Lower","Baseline",5.59,2.41079635125678,"ZH"
"81","你",0.530580211922256,"Lower","Baseline",5.59,5.05941978807774,"ZH"
"82","使",2.61784561028198,"Lower","Baseline",5.59,2.97215438971802,"ZH"
"83","侈",4.73159591296316,"Lower","Baseline",5.59,0.858404087036841,"ZH"
"84","例",4.12303209315627,"Lower","Baseline",5.59,1.46696790684373,"ZH"
"85","供",4.4168111844994,"Lower","Baseline",5.59,1.1731888155006,"ZH"
"86","依",4.51848875738582,"Lower","Baseline",5.59,1.07151124261418,"ZH"
"87","促",4.66325360854,"Lower","Baseline",5.59,0.926746391460003,"ZH"
"88","保",4.43440314360691,"Lower","Baseline",5.59,1.15559685639309,"ZH"
"89","信",3.84814560839988,"Lower","Baseline",5.59,1.74185439160012,"ZH"
"90","俱",4.80067797482903,"Lower","Baseline",5.59,0.78932202517097,"ZH"
"91","值",4.13304834381871,"Lower","Baseline",5.59,1.45695165618129,"ZH"
"92","假",4.13339354768538,"Lower","Baseline",5.59,1.45660645231462,"ZH"
"93","做",1.40333625614302,"Lower","Baseline",5.59,4.18666374385698,"ZH"
"94","健",4.6183558391166,"Lower","Baseline",5.59,0.971644160883397,"ZH"
"95","偶",4.58593992850356,"Lower","Baseline",5.59,1.00406007149644,"ZH"
"96","偷",4.49672981235957,"Lower","Baseline",5.59,1.09327018764043,"ZH"
"97","像",2.44190253210012,"Lower","Baseline",5.59,3.14809746789988,"ZH"
"98","儿",4.32393195550974,"Lower","Baseline",5.59,1.26606804449026,"ZH"
"99","充",4.51874239423336,"Lower","Baseline",5.59,1.07125760576664,"ZH"
"100","先",3.33970961874841,"Lower","Baseline",5.59,2.25029038125159,"ZH"
"101","光",4.08493568730863,"Lower","Baseline",5.59,1.50506431269137,"ZH"
"102","克",4.2266103444839,"Lower","Baseline",5.59,1.3633896555161,"ZH"
"103","免",4.54995480350774,"Lower","Baseline",5.59,1.04004519649226,"ZH"
"104","入",3.98046698887322,"Lower","Baseline",5.59,1.60953301112678,"ZH"
"105","全",3.61620726817553,"Lower","Baseline",5.59,1.97379273182447,"ZH"
"106","八",4.44989003640684,"Lower","Baseline",5.59,1.14010996359316,"ZH"
"107","公",4.4128038852125,"Lower","Baseline",5.59,1.1771961147875,"ZH"
"108","六",4.19226530938962,"Lower","Baseline",5.59,1.39773469061038,"ZH"
"109","兰",4.61047903945202,"Lower","Baseline",5.59,0.979520960547976,"ZH"
"110","关",3.86299096780525,"Lower","Baseline",5.59,1.72700903219475,"ZH"
"111","兴",4.57858879948564,"Lower","Baseline",5.59,1.01141120051436,"ZH"
"112","其",1.81701492936733,"Lower","Baseline",5.59,3.77298507063267,"ZH"
"113","具",4.43075779641744,"Lower","Baseline",5.59,1.15924220358256,"ZH"
"114","典",4.68756728901437,"Lower","Baseline",5.59,0.902432710985629,"ZH"
"115","养",4.40958373206321,"Lower","Baseline",5.59,1.18041626793679,"ZH"
"116","内",2.1342939488841,"Lower","Baseline",5.59,3.4557060511159,"ZH"
"117","再",2.03660697014754,"Lower","Baseline",5.59,3.55339302985246,"ZH"
"118","农",4.59894012517545,"Lower","Baseline",5.59,0.991059874824545,"ZH"
"119","况",4.64933164601149,"Lower","Baseline",5.59,0.940668353988512,"ZH"
"120","冷",4.35983070072923,"Lower","Baseline",5.59,1.23016929927077,"ZH"
"121","准",4.24503299118607,"Lower","Baseline",5.59,1.34496700881393,"ZH"
"122","凌",4.75153652358152,"Lower","Baseline",5.59,0.838463476418478,"ZH"
"123","减",4.68989404748201,"Lower","Baseline",5.59,0.900105952517989,"ZH"
"124","几",4.0446718890261,"Lower","Baseline",5.59,1.54532811097389,"ZH"
"125","凡",4.6108028391359,"Lower","Baseline",5.59,0.979197160864101,"ZH"
"126","凯",4.67851399160482,"Lower","Baseline",5.59,0.91148600839518,"ZH"
"127","出",2.12857376800285,"Lower","Baseline",5.59,3.46142623199715,"ZH"
"128","分",2.90166550361211,"Lower","Baseline",5.59,2.68833449638789,"ZH"
"129","切",4.46929040905525,"Lower","Baseline",5.59,1.12070959094475,"ZH"
"130","划",4.42032329939457,"Lower","Baseline",5.59,1.16967670060543,"ZH"
"131","列",4.09468408768043,"Lower","Baseline",5.59,1.49531591231957,"ZH"
"132","则",2.59156202395442,"Lower","Baseline",5.59,2.99843797604558,"ZH"
"133","刚",3.53355244637157,"Lower","Baseline",5.59,2.05644755362843,"ZH"
"134","初",4.09503227571723,"Lower","Baseline",5.59,1.49496772428277,"ZH"
"135","利",4.13834219423152,"Lower","Baseline",5.59,1.45165780576848,"ZH"
"136","到",0.812300685497375,"Lower","Baseline",5.59,4.77769931450262,"ZH"
"137","制",3.10739197311327,"Lower","Baseline",5.59,2.48260802688673,"ZH"
"138","前",1.94579935731255,"Lower","Baseline",5.59,3.64420064268745,"ZH"
"139","剧",4.0985831753081,"Lower","Baseline",5.59,1.4914168246919,"ZH"
"140","剩",4.53206135997336,"Lower","Baseline",5.59,1.05793864002664,"ZH"
"141","力",4.36813005945331,"Lower","Baseline",5.59,1.22186994054669,"ZH"
"142","劝",4.54479071282075,"Lower","Baseline",5.59,1.04520928717925,"ZH"
"143","功",4.51802725486233,"Lower","Baseline",5.59,1.07197274513767,"ZH"
"144","加",3.59954821988638,"Lower","Baseline",5.59,1.99045178011362,"ZH"
"145","务",4.66157132462253,"Lower","Baseline",5.59,0.928428675377472,"ZH"
"146","动",3.59830140510982,"Lower","Baseline",5.59,1.99169859489018,"ZH"
