"language","measure","beta","bval","pval","sig"
"ZH","vmi_baseline","b_0",-5.14272284171864,0,"SIG"
"ZH","vmi_baseline","b_UvsF",-0.580957310478197,0,"SIG"
"ZH","vmi_baseline","b_LvsU",0.00539519524015062,0.103377130201236,""
"ZH","vmi_baseline","b_freq",1.46347005197047,0,"SIG"
"ZH","vmi_baseline","b_surp",-0.00267090033402184,2.0893083651276e-09,"SIG"
"ZH","vmi_baseline","b_renyi",0.0124152997895455,6.96816073301871e-74,"SIG"
"ZH","vmi_qwenzt","b_0",2.57837077553156,0,"SIG"
"ZH","vmi_qwenzt","b_UvsF",-4.54731872387323,0,"SIG"
"ZH","vmi_qwenzt","b_LvsU",0.125016170197287,1.38194370137679e-72,"SIG"
"ZH","vmi_qwenzt","b_freq",-0.0381386768442548,1.04268175237404e-38,"SIG"
"ZH","vmi_qwenzt","b_surp",0.0122898984120559,1.43579494973265e-39,"SIG"
"ZH","vmi_qwenzt","b_renyi",-0.0187241547583994,2.90069727876354e-39,"SIG"
"ZH","vmi_qwenft","b_0",4.34833937191961,0,"SIG"
"ZH","vmi_qwenft","b_UvsF",-1.84556294056037,0,"SIG"
"ZH","vmi_qwenft","b_LvsU",-0.372310056269813,0,"SIG"
"ZH","vmi_qwenft","b_freq",-0.0371598298683669,8.21248081917751e-41,"SIG"
"ZH","vmi_qwenft","b_surp",0.00407610020105001,4.07572174477068e-06,"SIG"
"ZH","vmi_qwenft","b_renyi",0.00441739610911935,0.00110134830459689,"SIG"
"ZH","vmi_transocr","b_0",4.12357368160002,2.62373479434414e-289,"SIG"
"ZH","vmi_transocr","b_UvsF",-0.985362446198187,0,"SIG"
"ZH","vmi_transocr","b_LvsU",-1.0100776189287,0,"SIG"
"ZH","vmi_transocr","b_freq",-0.00664762638302275,0.136116921399269,""
"ZH","vmi_transocr","b_surp",-0.00153092423497597,0.278193046127594,""
"ZH","vmi_transocr","b_renyi",0.0299472456828767,1.02763538358123e-43,"SIG"
"EN","vmi_baseline","b_0",-0.199087454407976,1.1711981112707e-09,"SIG"
"EN","vmi_baseline","b_UvsF",-0.364871110303114,0,"SIG"
"EN","vmi_baseline","b_LvsU",-0.0721268081796434,6.6295589588115e-30,"SIG"
"EN","vmi_baseline","b_len",-0.117232937325802,0,"SIG"
"EN","vmi_baseline","b_freq",0.982375569895853,0,"SIG"
"EN","vmi_baseline","b_surp",-0.0403589319968039,0,"SIG"
"EN","vmi_baseline","b_renyi",-0.00144222944189428,0.171296910106113,""
"EN","vmi_qwenzt","b_0",4.26007300747095,0,"SIG"
"EN","vmi_qwenzt","b_UvsF",-1.43319290611359,0,"SIG"
"EN","vmi_qwenzt","b_LvsU",-2.08786497247225,0,"SIG"
"EN","vmi_qwenzt","b_len",0.196172176952527,0,"SIG"
"EN","vmi_qwenzt","b_freq",-0.0137228392544082,0.0206970446687333,"SIG"
"EN","vmi_qwenzt","b_surp",0.0133590583344251,3.14910123457662e-18,"SIG"
"EN","vmi_qwenzt","b_renyi",0.00220707240172779,0.294459724503331,""
"EN","vmi_qwenft","b_0",6.4033831492901,0,"SIG"
"EN","vmi_qwenft","b_UvsF",-0.111812026257885,2.76569747417239e-112,"SIG"
"EN","vmi_qwenft","b_LvsU",-0.466473888504422,0,"SIG"
"EN","vmi_qwenft","b_len",0.0408983229967211,1.4629727692075e-256,"SIG"
"EN","vmi_qwenft","b_freq",0.0117036193845703,8.89060800013908e-07,"SIG"
"EN","vmi_qwenft","b_surp",0.000923661117313395,0.133650079252678,""
"EN","vmi_qwenft","b_renyi",0.0197036645447498,1.26829267434291e-119,"SIG"
"EN","vmi_transocr","b_0",6.4817007787357,0,"SIG"
"EN","vmi_transocr","b_UvsF",-0.0808949178947067,4.5278119190106e-99,"SIG"
"EN","vmi_transocr","b_LvsU",-0.34707812913031,0,"SIG"
"EN","vmi_transocr","b_len",0.00765969361447006,7.03588850454369e-17,"SIG"
"EN","vmi_transocr","b_freq",0.0218676102406484,1.21115291493174e-32,"SIG"
"EN","vmi_transocr","b_surp",-0.000543119666179948,0.252904671165897,""
"EN","vmi_transocr","b_renyi",0.0260760806064644,0,"SIG"
