"language","measure","model_mi","beta","bval","pval","sig"
"ZH","gaze_duration","vmi_baseline","b_0",140.162408613793,6.05209614033165e-44,"SIG"
"ZH","gaze_duration","vmi_baseline","b_freq",20.2408008506109,1.69789670619047e-64,"SIG"
"ZH","gaze_duration","vmi_baseline","b_surp",0.967159771002017,1.93692851515194e-11,"SIG"
"ZH","gaze_duration","vmi_baseline","b_renyi",0.633324186315808,0.004120957740485,"SIG"
"ZH","gaze_duration","vmi_baseline","b_mi",-14.9356031869457,9.18147185117598e-87,"SIG"
"ZH","gaze_duration","vmi_qwenzt","b_0",235.465801303633,1.39490432654646e-56,"SIG"
"ZH","gaze_duration","vmi_qwenzt","b_freq",-1.86103199250926,3.55794402637674e-05,"SIG"
"ZH","gaze_duration","vmi_qwenzt","b_surp",1.09653335866452,2.13429867446168e-14,"SIG"
"ZH","gaze_duration","vmi_qwenzt","b_renyi",0.319785303787506,0.145278079457509,""
"ZH","gaze_duration","vmi_qwenzt","b_mi",-7.52965140851546,0,"SIG"
"ZH","gaze_duration","vmi_qwenft","b_0",260.868248763343,2.5603358111892e-63,"SIG"
"ZH","gaze_duration","vmi_qwenft","b_freq",-1.95806454851789,1.42167053037072e-05,"SIG"
"ZH","gaze_duration","vmi_qwenft","b_surp",1.05137884967244,2.59942038076232e-13,"SIG"
"ZH","gaze_duration","vmi_qwenft","b_renyi",0.487785154603367,0.0266167455522282,"SIG"
"ZH","gaze_duration","vmi_qwenft","b_mi",-10.1897447888694,1.44782405726602e-227,"SIG"
"ZH","gaze_duration","vmi_transocr","b_0",237.391572484432,7.09143149059822e-59,"SIG"
"ZH","gaze_duration","vmi_transocr","b_freq",-1.60308281885913,0.000438574009735821,"SIG"
"ZH","gaze_duration","vmi_transocr","b_surp",0.999874276928576,4.49373919918484e-12,"SIG"
"ZH","gaze_duration","vmi_transocr","b_renyi",0.592520124350292,0.0073741644671988,"SIG"
"ZH","gaze_duration","vmi_transocr","b_mi",-4.97053566543739,3.02880518799423e-94,"SIG"
"EN","gaze_duration","vmi_baseline","b_0",552.061158087199,1.34764991861545e-63,"SIG"
"EN","gaze_duration","vmi_baseline","b_len",42.6894874825662,0,"SIG"
"EN","gaze_duration","vmi_baseline","b_freq",-7.10152938418806,0.00856900529490136,"SIG"
"EN","gaze_duration","vmi_baseline","b_surp",2.86834578846257,6.64369283120534e-11,"SIG"
"EN","gaze_duration","vmi_baseline","b_renyi",-17.3095311186886,9.01153149581674e-191,"SIG"
"EN","gaze_duration","vmi_baseline","b_mi",-15.3571059462765,2.93380177926967e-12,"SIG"
"EN","gaze_duration","vmi_qwenzt","b_0",656.657880653944,1.00725447318568e-74,"SIG"
"EN","gaze_duration","vmi_qwenzt","b_len",49.6289460453853,0,"SIG"
"EN","gaze_duration","vmi_qwenzt","b_freq",-22.5057867026295,9.27600938300002e-43,"SIG"
"EN","gaze_duration","vmi_qwenzt","b_surp",3.82405855554322,3.09476549648545e-19,"SIG"
"EN","gaze_duration","vmi_qwenzt","b_renyi",-17.3621410842536,3.18027125424305e-195,"SIG"
"EN","gaze_duration","vmi_qwenzt","b_mi",-23.669903534709,8.25998246081572e-210,"SIG"
"EN","gaze_duration","vmi_qwenft","b_0",883.186202465593,7.67334276479681e-123,"SIG"
"EN","gaze_duration","vmi_qwenft","b_len",46.8317105247298,0,"SIG"
"EN","gaze_duration","vmi_qwenft","b_freq",-21.3814692059021,2.29690201112209e-38,"SIG"
"EN","gaze_duration","vmi_qwenft","b_surp",3.55110264494382,1.19272959483236e-16,"SIG"
"EN","gaze_duration","vmi_qwenft","b_renyi",-16.2894678599592,2.64985441717147e-169,"SIG"
"EN","gaze_duration","vmi_qwenft","b_mi",-51.4840622156624,1.51730103696228e-89,"SIG"
"EN","gaze_duration","vmi_transocr","b_0",985.610047524694,2.87326453052354e-145,"SIG"
"EN","gaze_duration","vmi_transocr","b_len",45.0790278995754,0,"SIG"
"EN","gaze_duration","vmi_transocr","b_freq",-20.5677890604023,1.43892256773668e-35,"SIG"
"EN","gaze_duration","vmi_transocr","b_surp",3.45530270899666,7.66460667862014e-16,"SIG"
"EN","gaze_duration","vmi_transocr","b_renyi",-15.6001037833797,2.50721987564528e-153,"SIG"
"EN","gaze_duration","vmi_transocr","b_mi",-66.4238155579685,5.41574647620048e-85,"SIG"
