"language","measure","beta","bval","pval","sig"
"ZH","gaze_duration","b_0",214.753898822567,5.1310027923987e-45,"SIG"
"ZH","gaze_duration","b_UvsF",36.4483312670448,5.29880639864324e-241,"SIG"
"ZH","gaze_duration","b_LvsU",16.275681326147,1.13631255593947e-52,"SIG"
"ZH","go_past_time","b_0",295.66123194079,2.70462185118903e-36,"SIG"
"ZH","go_past_time","b_UvsF",71.7312985575059,1.06605734245781e-48,"SIG"
"ZH","go_past_time","b_LvsU",46.2210269574599,2.0860817782489e-22,"SIG"
"ZH","total_duration","b_0",276.852955917684,2.18800198789367e-37,"SIG"
"ZH","total_duration","b_UvsF",70.2324985221229,1.15218329911103e-280,"SIG"
"ZH","total_duration","b_LvsU",53.3565441609931,1.44714104047464e-171,"SIG"
"ZH","FPReg","b_0",-2.99916905400006,0,"SIG"
"ZH","FPReg","b_UvsF",0.300251491483862,3.37087561024451e-22,"SIG"
"ZH","FPReg","b_LvsU",0.145621768600284,8.73003601652999e-08,"SIG"
"EN","gaze_duration","b_0",523.958105957932,3.7190098901904e-45,"SIG"
"EN","gaze_duration","b_UvsF",54.6396580746193,6.49823824359265e-49,"SIG"
"EN","gaze_duration","b_LvsU",90.0627013540046,8.64119586807484e-124,"SIG"
"EN","go_past_time","b_0",718.468501983397,5.17368454215457e-36,"SIG"
"EN","go_past_time","b_UvsF",33.2888695946312,0.0119763484426634,"SIG"
"EN","go_past_time","b_LvsU",149.718585120174,2.28676404947006e-28,"SIG"
"EN","total_duration","b_0",636.218330643449,3.75749238325666e-42,"SIG"
"EN","total_duration","b_UvsF",54.2152829978844,2.36191102083036e-22,"SIG"
"EN","total_duration","b_LvsU",137.848541976037,4.58476994716073e-126,"SIG"
"EN","FPReg","b_0",-2.58569749755352,0,"SIG"
"EN","FPReg","b_UvsF",-0.126527077863515,0.000918859721696665,"SIG"
"EN","FPReg","b_LvsU",0.14458187107345,0.000274806808394524,"SIG"
