target,entropy,surprisal
Year,0.3228,0
Old,2.3963,0
Bottle,0.9355,0
Message,2.0497,0
Angela,0.2559,0
Erdmann,0.527,0
never,1.382,0
knew,0.0173,0
her,1.1352,0
grandfather,0.3033,0
He,0.5481,0
died,0.0707,0
in,1.4543,0
six,0.0289,0
years,0.0298,0
before,0.2913,0
she,0.3852,0
was,0.0247,0
born,0.2572,0
But,0.0538,0
on,1.1104,0
Tuesday,0.1501,0
April,0.5526,0
described,0.0468,0
the,0.0335,0
extraordinary,0.647,0
moment,0.4176,0
when,0.5995,0
received,0.1306,0
a,0.5242,0
message,0.0391,0
bottle,0.9971,0
after,1.185,0
he,0.8303,0
had,0.7306,0
lobbed,0.016,0
it,0.7189,0
into,0.0575,0
Baltic,0.1835,0
Sea,0.0523,0
Thought,0.6219,0
to,1.3154,0
be,0.7299,0
world,0.5022,0
s,0.0503,0
oldest,1.3787,0
presented,0.0153,0
by,0.2763,0
museum,0.0762,0
that,0.0178,0
is,0.4548,0
now,0.1603,0
exhibiting,0.4114,0
Germany,0.4317,0
It,2.1187,0
very,0.0413,0
surprising,0.171,0
said,0.5728,0
recalling,0.8191,0
how,0.2602,0
found,0.0862,0
out,1.2393,0
about,0.0943,0
A,0.7627,0
man,0.1377,0
stood,0.0809,0
at,0.0073,0
my,0.0372,0
door,0.2653,0
and,0.115,0
told,0.795,0
me,0.0145,0
post,0.0126,0
from,0.061,0
then,0.117,0
been,0.3164,0
name,0.7764,0
card,0.2484,0
of,2.1955,0
Her,1.0034,0
visitor,0.0447,0
genealogical,1.1697,0
researcher,0.0723,0
who,1.5556,0
managed,0.0704,0
track,0.0326,0
down,0.0073,0
Berlin,0.182,0
letter,0.2161,0
given,0.7267,0
International,3.7674,0
Maritime,0.5346,0
Museum,1.0116,0
northern,0.9725,0
port,0.1409,0
city,0.0225,0
Hamburg,0.0866,0
The,1.2735,0
brown,0.015,0
beer,0.0726,0
which,0.0371,0
water,0.1811,0
for,1.0103,0
catch,0.0256,0
Konrad,1.0032,0
Fischer,0.9392,0
fisherman,0.9121,0
off,1.8453,0
Kiel,1.5545,0
Holger,1.6255,0
von,0.3288,0
Neuhoff,2.559,0
curator,0.1265,0
ocean,0.0494,0
science,0.7476,0
this,0.3066,0
bottled,0.7119,0
come,0.0199,0
across,0.0348,0
There,1.0723,0
are,0.0348,0
documents,0.0675,0
have,0.8825,0
without,0.0864,0
older,1.2872,0
with,0.1404,0
document,0.0301,0
certainly,0.4273,0
extremely,0.8491,0
good,0.0812,0
condition,0.0172,0
Researchers,0.5932,0
believe,0.4733,0
Richard,0.4484,0
Platz,1.3214,0
threw,0.249,0
sea,0.0054,0
while,0.0599,0
hike,0.5637,0
nature,0.1964,0
appreciation,0.0427,0
group,0.011,0
old,1.9806,0
time,0.0674,0
Much,1.0463,0
postcard,0.039,0
indecipherable,1.6864,0
although,0.7331,0
address,0.2469,0
front,0.2591,0
legible,0.3349,0
as,0.0084,0
author,0.0748,0
polite,0.0272,0
request,0.0522,0
note,0.2457,0
sent,0.0961,0
finder,0.4998,0
his,0.8499,0
home,0.2083,0
also,0.0398,0
included,0.7632,0
two,0.677,0
stamps,0.0194,0
were,0.4583,0
so,0.1634,0
would,0.4681,0
not,0.909,0
incur,0.2219,0
cost,0.0065,0
did,0.086,0
think,0.068,0
take,0.0138,0
She,0.1327,0
moved,0.351,0
arrival,0.4128,0
known,0.137,0
because,0.0244,0
age,0.0059,0
I,2.0494,0
little,1.0666,0
but,0.0178,0
writer,0.2685,0
open,0.8644,0
minded,0.0404,0
believed,0.598,0
