target,prior,posterior_target,entropy,marginal_likelihood
一,0.0050936716773525,0.9306669841492978,0.5753244766159837,120.5539541877443
七,0.0001769092421274,0.3057812750565995,3.5271935850979736,12.74337472032284
三,0.0026152991676729,0.8652783640547774,1.0256447170886402,66.57487353547975
上,0.0097217927175277,0.9607305494629694,0.352275631595265,222.8894822554809
下,0.0034505517814323,0.8857094558771296,0.8631684560766716,85.81082688302196
不,0.0157465656692351,0.9764157785758671,0.22030533504483202,355.21874769881674
与,0.0119673899086186,0.9722334116370188,0.2546459637970855,271.12759273666774
专,0.0001281633518817,0.2743453940589635,3.931552585282385,10.2898964134361
且,0.0004436423718984,0.5108915438282173,2.916998738500313,19.127099768620816
世,0.0001141968327664,0.24759310523650208,4.181478479190026,10.159219209281682
丘,1.6129960311616486e-05,0.03984201445467373,4.753947669293163,8.91737086937714
业,0.0001651335495399,0.2949012381380537,3.7544460672636983,12.333988502323193
东,0.0004053029076603,0.5294812094973733,2.789596916137413,16.860637303049735
两,0.0012816335188177,0.7527053195854939,1.6109444742883874,37.50452684360155
严,5.477066319733951e-05,0.12479324118524336,4.514863855738747,9.667223384993175
个,0.006134314278102,0.9412796252525649,0.49255837918952794,143.54635965370375
中,0.0122412432246053,0.9662776852195576,0.3017041459307729,279.0412417641752
串,3.0123864758536727e-05,0.0692183701691157,4.571000765565155,9.58592747980286
临,7.202342210450144e-05,0.1703896808989398,3.938655839851137,9.310548825727615
丹,4.874589024563216e-05,0.10292849480462422,4.204089596453089,10.431510595495288
为,0.0134188124833481,0.972931578364945,0.2492343859907775,303.79218923915414
主,0.0003861331755412,0.43920288808841873,3.1094793721744907,19.364966428877658
久,0.0002615299167672,0.4086467011225889,3.438070927915245,14.096724016532015
么,0.0011967389908618,0.7756315203759477,1.579334087655131,33.98512019567271
义,0.0001810170418672,0.3483437093194557,3.716205931314645,11.446067703517691
之,0.0034505517814323,0.8974883479803275,0.7800404561459464,84.68462120757684
乎,2.4400330454414748e-05,0.05866724378632407,4.482094297203439,9.161041314530493
乏,6.271240936095374e-06,0.015724007714211254,4.731208582228389,8.784864296718226
乐,0.0001651335495399,0.3139333712288165,3.8470415884042843,11.586243495803778
九,0.0001612996031161,0.3184882575252146,3.8218255312189937,11.15538832847361
也,0.0137200511309335,0.9745127595470499,0.24201506311882512,310.1080349927583
习,5.586607646128629e-05,0.1303111580029361,4.410836098722158,9.443030367643985
书,0.000657247958368,0.6212259709379757,2.1694274171282233,23.30367748766366
乳,1.98269800774369e-05,0.05645245386706492,4.6353161943145444,7.736037471787656
了,0.0377917576061642,0.9904243969846503,0.1002160797763189,840.4668329779674
争,0.0001040642600749,0.24692078905780568,4.138442115581443,9.2830088294633
事,0.0016896749596379,0.8418615547326022,1.1747390235686697,44.20865579807469
二,0.0006709406241674,0.5949793155418859,2.4860640308449753,24.838595767165152
于,0.0055866076461286,0.9335414040747613,0.5403749014425038,131.81335256192102
五,0.000369701976582,0.5016997978516786,3.0446036903217006,16.23127610640039
亚,0.0002793303823064,0.3836157787699835,3.413220231726155,16.038602820379158
些,0.0004874589024563,0.5861752763760566,2.5880184966123503,18.317041461911593
亡,2.1743953289343784e-05,0.048088254774414786,4.608941969433872,9.959655338259973
交,0.0001938881477185,0.35404469079512757,3.5923925291451937,12.062518559870878
产,0.0002385262382244,0.4079922839593791,3.5210806913037533,12.877424975852627
享,1.651335495399786e-05,0.05192740014503027,4.756558789856953,7.0046034855559185
亲,0.0001470592306848,0.3261457697353054,3.9147931122252713,9.9317403905567
人,0.0150619323792683,0.9731747854597468,0.24949828403237306,340.9060153556224
什,5.997387620108676e-05,0.14038797717861162,4.393456876410545,9.409726952932186
仅,0.0004053029076603,0.5301272363157273,2.936783490432165,16.84009049253683
今,0.0002615299167672,0.41613199638097936,3.402418245573521,13.843155095234307
仍,0.0007038030220858,0.6055425249247276,2.4490755306753793,25.6006680855015
从,0.0048745890245632,0.941896729021401,0.49272406452791595,113.9933552214746
他,0.0131175738357628,0.9626118576405499,0.30756128661678733,300.1560692515092
代,0.0001372005113093,0.2784606574019119,3.9256362121690187,10.852672681234354
令,0.000369701976582,0.513594041616164,2.9178776507468926,15.855378531711477
以,0.0047650476981685,0.937477981632625,0.5336487245437103,111.95693359277331
们,0.002078546668339,0.7715749278172014,1.3530296596191813,59.337123903960226
件,0.0003779175760616,0.5243776793632391,2.9036943427412596,15.874414358149846
价,9.064544759159688e-05,0.20894479515053507,4.237921706798482,9.555628554388237
任,0.0004135185071399,0.4975252864061969,2.9805155192560124,18.307313219855466
仿,1.5746565669235108e-05,0.036414059373653634,4.5629288488306115,9.524925154321906
企,2.330491719046796e-05,0.05619170020387947,4.600700056924627,9.135245231665115
休,3.0123864758536727e-05,0.07425767932683096,4.442811870849155,8.935402812562003
优,7.530966189634182e-05,0.18050699360894443,4.323129277881648,9.1897031722323
会,0.0082703701427982,0.9602476527236904,0.35262638022894544,189.7083784001225
传,0.0002793303823064,0.44247166269308474,3.241763467427589,13.905209372899265
伤,0.0001341881248334,0.2446174428429571,4.016948644701215,12.082908346031864
伯,4.4364237189845e-05,0.08170706352823824,3.939233871585003,11.959643521359615
估,1.4048675110117585e-05,0.030566187641760403,4.303325116568814,10.12369175384463
似,5.230598335345923e-05,0.11933874099060224,4.321429011378691,9.65416547581499
但,0.0057235343041219,0.9220245106027056,0.6182444811438387,136.73089069262966
位,0.0007886975500416,0.6342344140630691,2.3071244920967247,27.39084985494282
低,0.0004436423718984,0.5502922880148541,2.716910382188767,17.75760580799427
住,0.0006709406241674,0.5980939062156635,2.4497118089259784,24.709248087942605
体,0.0002738533159866,0.4112195423044344,3.2471473009236522,14.668613907720394
何,0.0001040642600749,0.17638349105481854,4.1217763819580036,12.995365106416157
余,0.0001169353659263,0.2488176292518364,3.9574393671283477,10.351649300427711
佛,5.477066319733951e-05,0.15206210962399763,4.474884368468182,7.933627531921928
作,0.0007886975500416,0.6963349555441585,2.022207746786644,24.948079182472544
你,0.0137200511309335,0.974925549814997,0.23252199993040193,309.9767330909038
使,0.0013720051130933,0.7725811105689643,1.5565235545807827,39.11618246994647
侈,8.270370142798264e-07,0.0025912495961247194,4.737659348351789,7.0300840695999405
例,0.0001169353659263,0.22812259674350646,3.76422069152469,11.290739604699729
供,0.0001895064946627,0.35751668661345354,3.699862601025513,11.675422375724736
依,0.0001341881248334,0.2790114377744606,3.9344483187205395,10.593437191278792
促,3.0123864758536727e-05,0.05928917529077662,4.3713913006489244,11.191288687304683
保,0.0001169353659263,0.24229278133746326,4.004992364376261,10.63041508525786
信,0.0003779175760616,0.4739587542037594,2.9877824371587662,17.563107524749825
俱,2.226427458971851e-05,0.055711656362607186,4.622395041609767,8.802525624166693
值,0.000267554689719,0.4099431207222849,3.4182474193957257,14.375858316520137
假,0.0003012386475853,0.5064850164819215,3.101431752748294,13.100531212552236
做,0.0032862397918403,0.922643782579034,0.6416723290800315,78.4530820401455
健,3.0123864758536727e-05,0.09370716262330385,4.631941279860817,7.080806398744621
偶,1.728014423876061e-05,0.043424486058876714,4.583420664064801,8.765112510216607
偷,9.283627411949046e-05,0.23281914531271786,4.0549406153803,8.783019169938322
像,0.0013720051130933,0.8066139197058667,1.401596037787508,37.46578500017633
儿,0.0001810170418672,0.3158625875238646,3.68367946165719,12.62310206543132
