target,entropy,surprisal
一,0.6643,0
七,5.4871,0
三,0.7011,0
上,4.8114,0
下,0.4596,0
不,0.0684,0
与,0.4377,0
专,0.7934,0
且,1.3833,0
世,0.9028,0
丘,0.047,0
业,1.5523,0
东,0.0816,0
两,1.1929,0
严,0.3661,0
个,0.0592,0
中,0.3982,0
串,1.2305,0
临,4.4708,0
丹,0.0072,0
为,7.0926,0
主,5.3171,0
久,5.9884,0
么,6.1666,0
义,1.3824,0
之,5.4199,0
乎,6.6657,0
乏,5.9487,0
乐,4.1883,0
九,6.5875,0
也,1.0919,0
习,2.9067,0
书,4.8137,0
乳,0.1856,0
了,2.8398,0
争,6.9235,0
事,5.7569,0
二,0.0058,0
于,2.7266,0
五,3.3174,0
亚,1.5014,0
些,0.1473,0
亡,4.6356,0
交,5.3461,0
产,0.2677,0
享,0.8626,0
亲,6.5338,0
人,0.5238,0
什,5.5398,0
仅,7.0692,0
今,0.0148,0
仍,3.3686,0
从,2.3721,0
他,0.3696,0
代,1.6725,0
令,0.0013,0
以,1.5716,0
们,6.108,0
件,2.9162,0
价,4.7645,0
任,4.2154,0
仿,6.7487,0
企,1.1941,0
休,0.9442,0
优,7.0002,0
会,2.5881,0
传,5.4988,0
伤,2.2029,0
伯,6.5538,0
估,4.5376,0
似,0.0632,0
但,1.9413,0
位,0.2934,0
低,5.9191,0
住,0.9522,0
体,0.1706,0
何,7.2842,0
余,5.4173,0
佛,0.003,0
作,1.7755,0
你,4.3271,0
使,0.0413,0
侈,0.8312,0
例,5.1405,0
供,2.0077,0
依,5.886,0
促,2.5812,0
保,0.0429,0
信,0.7308,0
俱,0.005,0
值,3.0357,0
假,0.0628,0
做,0.4231,0
健,0.153,0
偶,5.0549,0
偷,1.809,0
像,5.8681,0
儿,5.6109,0
充,5.7217,0
先,3.4725,0
光,6.2719,0
克,0.0124,0
免,4.413,0
入,3.3645,0
全,0.0041,0
八,0.6154,0
公,6.7097,0
六,0.3693,0
兰,0.0975,0
关,2.0593,0
兴,3.0134,0
其,0.2692,0
具,2.3344,0
典,0.029,0
养,3.9357,0
内,3.3474,0
再,3.6779,0
农,0.1238,0
况,4.0238,0
冷,0.0716,0
准,1.4117,0
凌,0.0022,0
减,0.0906,0
几,6.2679,0
凡,5.0724,0
凯,0.3583,0
出,5.4846,0
分,6.0105,0
切,6.2438,0
划,0.0603,0
列,1.6188,0
则,7.0165,0
刚,1.2053,0
初,0.0435,0
利,0.0734,0
到,0.117,0
制,0.1744,0
前,0.4037,0
剧,0.3805,0
剩,5.3463,0
力,7.088,0
劝,1.2729,0
功,5.6336,0
加,0.0857,0
务,5.6425,0
动,0.1911,0
助,2.8685,0
励,0.0821,0
劳,2.5611,0
包,1.389,0
化,2.3783,0
北,0.4122,0
匪,6.4414,0
区,0.0437,0
十,0.0446,0
千,0.0436,0
升,0.423,0
午,6.1254,0
半,5.7037,0
单,6.7789,0
南,2.8982,0
博,5.3768,0
卡,1.8137,0
卢,1.4232,0
印,6.783,0
却,1.7795,0
历,5.4388,0
压,0.044,0
原,0.0548,0
去,6.9822,0
参,0.8753,0
叉,0.5953,0
及,0.9263,0
友,0.9179,0
发,2.2501,0
取,3.4532,0
受,5.773,0
变,4.3899,0
口,0.3362,0
古,1.0469,0
另,2.4214,0
只,3.5027,0
叫,0.1717,0
可,0.5078,0
史,2.9348,0
司,0.027,0
叹,0.0634,0
吁,0.3244,0
吃,1.1735,0
合,0.0486,0
同,1.4408,0
名,1.3159,0
后,0.3076,0
向,6.8774,0
否,0.076,0
含,5.8708,0
吻,6.1738,0
呈,0.1131,0
告,0.4579,0
员,4.0494,0
呢,5.1636,0
周,0.009,0
味,0.0029,0
呼,7.5874,0
命,2.699,0
和,6.0046,0
品,0.015,0
响,1.8178,0
唯,5.3541,0
商,5.7243,0
善,1.9581,0
喜,0.1514,0
喻,3.9682,0
器,0.6502,0
四,0.7467,0
回,0.0152,0
因,2.1634,0
团,6.6493,0
困,0.0421,0
固,0.0149,0
国,0.6661,0
图,2.1074,0
土,4.7608,0
在,3.6125,0
地,0.5627,0
场,5.783,0
圾,6.892,0
址,2.7378,0
均,4.5941,0
坎,0.321,0
坚,0.4422,0
坦,0.0144,0
垃,0.2135,0
型,1.7405,0
埃,1.5595,0
城,0.1293,0
域,0.0669,0
基,0.277,0
堪,2.7828,0
塑,2.9991,0
塔,0.1509,0
塞,0.0079,0
境,2.3218,0
增,0.7827,0
墨,5.8966,0
壁,6.1189,0
士,4.2884,0
处,4.7285,0
备,6.1602,0
复,4.5211,0
夏,3.3321,0
外,5.8121,0
多,3.353,0
夜,0.1158,0
够,4.8395,0
大,0.0556,0
天,7.3134,0
太,4.1956,0
夫,0.1062,0
失,1.5792,0
头,0.4085,0
夷,0.0412,0
奇,7.2614,0
奉,1.5183,0
奋,3.691,0
奏,4.5907,0
奢,0.87,0
女,0.3208,0
她,1.0875,0
好,2.5277,0
如,2.4973,0
妻,2.8761,0
始,1.6467,0
子,1.1295,0
