target,entropy,surprisal
一,0.0151,0
七,4.3353,0
三,1.8382,0
上,0.2072,0
下,3.4199,0
不,0.0285,0
与,0.0126,0
专,0.3442,0
且,2.322,0
世,0.0202,0
丘,0.9109,0
业,1.5646,0
东,5.3266,0
两,2.2935,0
严,1.8778,0
个,0.4646,0
中,4.1689,0
串,0.3769,0
临,1.1604,0
丹,0.0029,0
为,0.1962,0
主,0.0088,0
久,0.1029,0
么,1.9507,0
义,0.0209,0
之,0.734,0
乎,0.0041,0
乏,0.1831,0
乐,2.9272,0
九,1.4892,0
也,5.3175,0
习,0.3575,0
书,0.1489,0
乳,0.0804,0
了,0.0779,0
争,0.6657,0
事,0.1677,0
二,0.6962,0
于,0.04,0
五,7.134,0
亚,0.001,0
些,0.3205,0
亡,0.1444,0
交,2.5878,0
产,4.0506,0
享,6.0116,0
亲,2.0053,0
人,3.2723,0
什,0.9037,0
仅,4.1531,0
今,1.6604,0
仍,0.1793,0
从,2.2503,0
他,0.8723,0
代,0.0207,0
令,1.937,0
以,3.0685,0
们,0.3115,0
件,0.0309,0
价,0.0803,0
任,0.2118,0
仿,3.8417,0
企,3.9171,0
休,6.9057,0
优,3.1602,0
会,3.9176,0
传,0.159,0
伤,0.1894,0
伯,0.0745,0
估,5.0505,0
似,0.0152,0
但,0.027,0
位,0.4629,0
低,0.9587,0
住,0.1095,0
体,1.5344,0
何,0.0273,0
余,3.7472,0
佛,0.6972,0
作,0.0068,0
你,5.7497,0
使,0.0023,0
侈,2.2142,0
例,0.1586,0
供,1.0504,0
依,3.914,0
促,0.0153,0
保,0.3218,0
信,0.1116,0
俱,0.3275,0
值,0.2824,0
假,1.4182,0
做,0.6325,0
健,0.1441,0
偶,0.0792,0
偷,0.0002,0
像,0.4445,0
儿,0.1349,0
充,6.9181,0
先,0.0049,0
光,0.3277,0
克,5.9398,0
免,6.7131,0
入,0.0042,0
全,7.195,0
八,1.7081,0
公,0.029,0
六,0.6207,0
兰,0.0523,0
关,0.0561,0
兴,6.7308,0
其,5.8375,0
具,1.7244,0
典,1.507,0
养,4.3318,0
内,4.6357,0
再,0.8754,0
农,2.3408,0
况,0.0005,0
冷,0.7135,0
准,0.1219,0
凌,0.061,0
减,0.2001,0
几,0.7682,0
