target,entropy,surprisal
一,0.0787,0
七,0.0683,0
三,0.0428,0
上,0.014,0
下,0.1375,0
不,0.0221,0
与,0.0261,0
专,0.2219,0
且,0.1158,0
世,0.1117,0
丘,0.0736,0
业,0.0284,0
东,0.013,0
两,0.2352,0
严,0.0219,0
个,0.1578,0
中,0.2804,0
串,0.0682,0
临,0.0194,0
丹,0.7379,0
为,0.1421,0
主,0.0697,0
久,2.1321,0
么,0.3001,0
义,0.0436,0
之,0.1287,0
乎,0.2035,0
乏,0.0416,0
乐,1.6198,0
九,1.3562,0
也,0.0251,0
习,0.4974,0
书,0.0928,0
乳,0.0653,0
了,0.0304,0
争,1.3445,0
事,0.2017,0
二,0.0484,0
于,0.1941,0
五,0.1669,0
亚,0.0271,0
些,0.0496,0
亡,0.1139,0
交,0.0583,0
产,0.033,0
享,0.1676,0
亲,0.0699,0
人,0.6852,0
什,0.0222,0
仅,0.1232,0
今,0.0389,0
仍,0.0238,0
从,0.2196,0
他,0.0092,0
代,0.1052,0
令,0.0122,0
以,0.3634,0
们,1.6611,0
件,0.0181,0
价,0.0854,0
任,0.0158,0
仿,0.0486,0
企,0.0179,0
休,0.7378,0
优,0.197,0
会,0.012,0
传,0.0294,0
伤,0.1625,0
伯,0.1657,0
估,0.0286,0
似,0.0525,0
但,0.0874,0
位,0.0935,0
低,0.2129,0
住,0.0342,0
体,0.0187,0
何,0.0629,0
余,0.515,0
佛,0.0948,0
作,0.0148,0
你,0.6159,0
使,0.0523,0
侈,0.4205,0
例,0.423,0
供,0.04,0
依,0.0698,0
促,0.128,0
保,0.0568,0
信,0.0483,0
俱,0.0281,0
值,0.0908,0
假,0.1101,0
做,0.0196,0
健,0.0252,0
偶,0.0483,0
偷,0.3989,0
像,0.1226,0
儿,0.745,0
充,0.0183,0
先,0.1558,0
光,0.0856,0
克,0.035,0
免,1.4192,0
入,0.0044,0
全,0.054,0
八,4.0634,0
公,0.0969,0
六,0.0362,0
兰,0.0165,0
关,0.0116,0
兴,0.0733,0
其,0.0199,0
具,1.209,0
典,0.3594,0
养,3.077,0
内,1.4057,0
再,0.0906,0
农,0.0082,0
况,0.0751,0
冷,0.0648,0
准,0.0378,0
凌,1.413,0
减,1.59,0
几,0.0281,0
凡,0.1251,0
凯,0.019,0
出,0.554,0
分,0.0516,0
切,0.0087,0
划,1.0181,0
列,0.0659,0
则,0.8649,0
刚,0.0315,0
初,0.1897,0
利,0.0545,0
到,0.0658,0
制,0.017,0
前,0.0499,0
剧,0.0781,0
剩,0.0206,0
力,0.01,0
劝,0.2734,0
功,0.2978,0
加,0.3787,0
务,0.0088,0
动,2.198,0
助,2.2589,0
励,0.029,0
劳,0.4721,0
包,0.7681,0
化,0.0301,0
北,0.0126,0
匪,0.1261,0
区,0.1044,0
十,0.5743,0
千,0.2384,0
升,0.0578,0
午,0.053,0
半,0.0451,0
单,0.0247,0
南,0.0566,0
博,0.1341,0
卡,0.1317,0
卢,0.3287,0
印,0.0617,0
却,0.0573,0
历,0.0314,0
压,0.088,0
原,0.3483,0
去,0.0093,0
参,0.1815,0
叉,0.0041,0
及,0.4788,0
友,0.2061,0
发,0.01,0
取,4.7932,0
受,0.461,0
变,0.0588,0
口,0.0502,0
古,0.0706,0
另,0.0077,0
只,0.2559,0
叫,0.0056,0
可,0.078,0
史,0.0089,0
司,4.3382,0
叹,0.053,0
吁,0.0997,0
吃,0.2842,0
合,0.0167,0
同,0.578,0
名,0.0484,0
后,0.2256,0
向,0.5262,0
否,1.4391,0
含,0.237,0
吻,0.0952,0
呈,0.0279,0
告,0.0422,0
员,0.1154,0
呢,1.6728,0
周,1.4757,0
味,0.7258,0
呼,2.7881,0
命,0.3134,0
和,0.006,0
品,0.3764,0
响,0.5083,0
唯,0.1949,0
商,0.0713,0
善,1.9199,0
喜,0.0199,0
喻,0.0393,0
器,1.4404,0
四,0.5775,0
回,0.0026,0
因,0.1256,0
团,3.6695,0
困,0.0043,0
固,0.0827,0
国,0.157,0
图,0.0297,0
土,0.0081,0
在,0.5825,0
地,0.6716,0
场,0.0442,0
圾,0.0444,0
址,5.7645,0
均,0.1784,0
坎,0.0497,0
坚,0.0885,0
坦,0.3258,0
垃,0.0623,0
型,0.0124,0
埃,0.2024,0
城,0.0596,0
域,0.0896,0
基,0.435,0
堪,0.3616,0
塑,0.0237,0
塔,0.0501,0
塞,0.7368,0
境,0.0776,0
增,0.0229,0
墨,0.022,0
壁,0.1401,0
士,0.0104,0
处,0.0097,0
备,0.0084,0
复,0.092,0
夏,0.0538,0
外,0.2367,0
多,0.2554,0
夜,0.0304,0
够,0.1618,0
大,0.0287,0
天,0.159,0
太,0.0463,0
夫,0.3405,0
失,0.0006,0
头,0.0274,0
夷,0.2248,0
奇,0.1058,0
奉,0.0342,0
奋,0.1317,0
奏,0.0578,0
奢,0.5359,0
女,0.0123,0
她,0.0755,0
好,0.0703,0
如,0.2771,0
妻,0.4653,0
始,0.0365,0
子,0.2016,0
孔,0.3588,0
字,0.2586,0
存,0.0987,0
季,0.0851,0
孤,2.6547,0
学,0.1919,0
孩,0.0841,0
它,1.0734,0
安,0.9804,0
完,0.0541,0
官,1.8156,0
定,0.0179,0
实,0.4738,0
客,0.7709,0
宣,1.1131,0
家,0.1016,0
容,0.05,0
寄,0.1999,0
密,0.0843,0
寒,0.0594,0
察,0.095,0
对,0.2618,0
寻,0.1432,0
封,0.2263,0
将,0.0652,0
尊,0.1527,0
小,0.1812,0
少,1.9415,0
尔,0.2074,0
尘,0.0163,0
尚,0.2944,0
尝,0.0103,0
尤,0.0347,0
就,0.4359,0
尽,0.0868,0
尿,0.0076,0
居,0.3539,0
届,1.2724,0
展,0.326,0
属,0.034,0
山,0.3475,0
岁,2.4528,0
岗,0.0479,0
岛,0.0153,0
岸,0.0068,0
峰,0.0158,0
崇,0.3328,0
工,0.0407,0
己,0.0478,0
已,0.0145,0
巴,0.0332,0
币,0.0214,0
市,1.3551,0
布,0.9758,0
师,0.0657,0
希,0.165,0
带,0.3185,0
常,0.2073,0
平,0.0501,0
年,0.0334,0
并,0.0034,0
床,0.0376,0
应,0.3,0
底,1.7432,0
府,0.4894,0
度,0.376,0
座,0.0419,0
庭,0.0279,0
康,0.0067,0
延,0.0277,0
建,0.0051,0
开,0.0247,0
异,0.0897,0
弃,0.2465,0
式,0.0082,0
张,0.0246,0
弱,0.2422,0
强,1.0817,0
归,0.0714,0
当,0.0033,0
录,0.1045,0
形,0.1699,0
影,0.8397,0
往,0.138,0
征,0.173,0
径,0.0023,0
待,0.0215,0
很,0.2799,0
律,0.0117,0
徒,0.141,0
得,0.083,0
御,0.014,0
德,0.0265,0
心,1.0134,0
必,0.1078,0
忆,0.3,0
志,0.0093,0
忙,0.1064,0
忠,0.1377,0
快,0.6714,0
态,0.0193,0
思,0.1979,0
性,0.0525,0
总,0.8727,0
恢,0.3602,0
息,0.5069,0
悄,1.3968,0
患,1.0077,0
情,0.2988,0
惊,0.3076,0
惜,0.2149,0
惠,0.0812,0
惯,0.3259,0
惰,0.1969,0
想,0.0848,0
意,0.2375,0
感,0.0412,0
愿,0.0536,0
慧,0.9344,0
慨,0.246,0
慰,0.1804,0
憾,0.0987,0
懒,0.1403,0
成,0.2576,0
我,0.019,0
或,1.3532,0
战,0.0673,0
所,0.0034,0
才,0.5716,0
打,0.0291,0
扔,0.0079,0
找,0.0613,0
承,0.0711,0
抑,0.1483,0
投,0.075,0
抛,0.0592,0
抵,0.0759,0
担,0.0548,0
拉,0.5851,0
拍,0.1443,0
括,0.0766,0
拾,0.0754,0
持,0.1613,0
挂,0.0179,0
指,0.1888,0
按,1.4933,0
挑,0.036,0
挤,0.0222,0
振,0.3784,0
捕,0.5325,0
据,0.1534,0
掌,0.6518,0
排,0.1531,0
探,0.0406,0
接,0.1446,0
控,0.0903,0
推,0.0613,0
措,0.0901,0
描,0.207,0
提,0.2896,0
揭,0.0322,0
搜,0.2273,0
携,0.5279,0
摄,0.0081,0
摆,0.0422,0
摸,0.0782,0
播,0.0058,0
收,0.1191,0
改,0.0667,0
放,0.1328,0
政,0.0752,0
故,1.8177,0
效,0.0994,0
教,1.8315,0
数,0.3636,0
敲,0.172,0
整,0.2626,0
文,0.1444,0
斗,0.0171,0
料,0.0289,0
斯,0.0144,0
新,0.1559,0
方,1.1745,0
施,0.4176,0
旅,0.0265,0
族,0.3839,0
无,2.8191,0
既,0.1684,0
日,0.018,0
旧,0.0914,0
旨,3.2178,0
早,0.0578,0
旬,0.3858,0
时,0.7035,0
明,2.4449,0
易,1.2119,0
星,0.0864,0
春,0.2744,0
是,0.2389,0
昼,0.0681,0
显,0.4453,0
晚,0.0523,0
晨,0.6009,0
普,0.0693,0
晰,0.1218,0
智,0.0641,0
更,0.0235,0
曾,0.825,0
最,0.0273,0
月,0.0581,0
有,0.1341,0
望,0.0782,0
朝,2.7337,0
期,0.0876,0
未,1.3568,0
末,1.2071,0
本,0.0585,0
术,0.0031,0
机,1.3251,0
杂,1.3534,0
权,0.029,0
杆,0.029,0
束,0.0472,0
条,0.5184,0
来,0.0992,0
杨,1.7055,0
松,0.0322,0
板,0.1785,0
极,0.12,0
析,0.0112,0
果,0.0523,0
某,0.0066,0
标,0.0297,0
校,0.1789,0
样,0.1188,0
核,0.0117,0
根,0.0823,0
格,0.0409,0
案,0.2609,0
桌,0.3897,0
棕,0.0251,0
森,0.0352,0
模,0.1206,0
次,1.2539,0
欢,0.0412,0
欣,0.0665,0
欧,0.5625,0
正,0.145,0
此,0.1377,0
步,0.0916,0
死,0.2267,0
殊,0.1214,0
段,0.0224,0
母,0.6387,0
每,0.1213,0
比,0.0897,0
民,0.0026,0
水,0.0597,0
求,0.0237,0
